EMAS,Acronym,Lat,Long
Altzomoni,ALTZ,19.1188056,-98.6552222
Cerro Catedral,CRCA,19.5419444,-99.5191667
Ecoguardas,ECOG,19.2708583,-99.19915
Escuela Nacional de Ciencias Biológicas,ENCI,19.4986694,-99.1454528
Huichapan,HCHP,20.3886111,-99.6638889
Instituto Mexicano de Tecnología del Agua,IMTA,18.8822222,-99.1569444
El Chico,LCHI,20.1855833,-98.7162778
Lagunas de Zempoala,LGZM,19.0534444,-99.3127778
Nevado de Toluca,NVTO,19.1166667,-99.7666667
Parque Izta-Popo,PIZP,19.0956667,-98.6432222
Presa Madín,PRMD,19.5244444,-99.2680556
Tepoztlán,TPZT,18.9508333,-99.0788889
Tres Marías,TRMS,19.0505556,-99.2486111
Tezontle,TZNT,19.3852778,-99.0997222